Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000007206|ENSDARG00000006640,1,23,18,23,0,0,0,23,5
ENSDART00000008326|ENSDARG00000016856,1,23,23,23,0,0,0,23,0
ENSDART00000010322|ENSDARG00000019595,1,23,19,24,0,0,0,24,5
ENSDART00000012807|ENSDARG00000040290,1,23,20,23,0,0,0,23,3
ENSDART00000012928|ENSDARG00000039392,1,23,18,23,0,0,0,23,5
ENSDART00000013079|ENSDARG00000012194,1,23,18,23,0,0,0,23,5
ENSDART00000019353|ENSDARG00000032496,1,23,23,23,0,0,0,23,0
ENSDART00000021369|ENSDARG00000006341,1,23,18,23,0,0,0,23,5
ENSDART00000021556|ENSDARG00000030967,1,23,18,23,0,0,0,23,5
ENSDART00000023262|ENSDARG00000075714,1,23,18,23,0,0,0,23,5
ENSDART00000036302|ENSDARG00000021866,1,23,19,24,0,0,0,24,5
ENSDART00000040308|ENSDARG00000043757,1,22,19,23,0,1,1,24,5
ENSDART00000040627|ENSDARG00000030490,1,22,18,22,0,1,1,23,5
ENSDART00000040733|ENSDARG00000029461,2,23,18,22,1,0,1,23,5
ENSDART00000041412|ENSDARG00000008904,1,23,18,23,0,0,0,23,5
ENSDART00000044423|ENSDARG00000003169,1,22,18,22,0,1,1,23,5
ENSDART00000044743|ENSDARG00000029803,1,23,18,23,0,0,0,23,5
ENSDART00000047515|ENSDARG00000032373,1,23,21,26,0,0,0,26,5
ENSDART00000047719|ENSDARG00000021735,2,23,19,22,1,0,1,23,4
ENSDART00000048432|ENSDARG00000041926,1,23,19,24,0,0,0,24,5
ENSDART00000050750|ENSDARG00000033367,1,23,18,23,0,0,0,23,5
ENSDART00000057644|ENSDARG00000039458,1,23,20,25,0,0,0,25,5
ENSDART00000058959|ENSDARG00000097789,1,23,20,23,0,0,0,23,3
ENSDART00000060714|ENSDARG00000041417,1,23,19,24,0,0,0,24,5
ENSDART00000066763|ENSDARG00000045401,1,23,18,23,0,0,0,23,5
ENSDART00000067531|ENSDARG00000045945,1,23,18,23,0,0,0,23,5
ENSDART00000076345|ENSDARG00000054196,1,22,19,23,0,1,1,24,5
ENSDART00000077161|ENSDARG00000068640,1,23,18,23,0,0,0,23,5
ENSDART00000078533|ENSDARG00000056101,1,23,19,24,0,0,0,24,5
ENSDART00000078886|ENSDARG00000008835,1,22,19,22,0,1,1,23,4
ENSDART00000086631|ENSDARG00000078992,2,23,18,22,1,0,1,23,5
ENSDART00000087661|ENSDARG00000075648,3,23,20,23,2,0,2,25,5
ENSDART00000089543|ENSDARG00000062156,1,23,18,23,0,0,0,23,5
ENSDART00000091307|ENSDARG00000069093,2,23,19,23,1,0,1,24,5
ENSDART00000091828|ENSDARG00000063068,1,23,18,23,0,0,0,23,5
ENSDART00000092118|ENSDARG00000063207,1,23,21,26,0,0,0,26,5
ENSDART00000100234|ENSDARG00000069093,2,23,19,23,1,0,1,24,5
ENSDART00000101525|ENSDARG00000078508,1,23,19,23,0,0,0,23,4
ENSDART00000102472|ENSDARG00000070043,1,22,18,22,0,1,1,23,5
ENSDART00000102981|ENSDARG00000077403,1,22,18,22,0,1,1,23,5
ENSDART00000103969|ENSDARG00000003169,1,22,18,22,0,1,1,23,5
ENSDART00000104799|ENSDARG00000012422,1,23,19,24,0,0,0,24,5
ENSDART00000110241|ENSDARG00000074480,1,23,19,24,0,0,0,24,5
ENSDART00000110582|ENSDARG00000078188,2,23,18,22,1,0,1,23,5
ENSDART00000110922|ENSDARG00000077722,1,23,18,23,0,0,0,23,5
ENSDART00000113738|ENSDARG00000008904,1,23,18,23,0,0,0,23,5
ENSDART00000113832|ENSDARG00000079250,1,23,22,24,0,0,0,24,2
ENSDART00000114778|ENSDARG00000078335,1,23,18,23,0,0,0,23,5
ENSDART00000122257|ENSDARG00000006640,1,23,18,23,0,0,0,23,5
ENSDART00000122423|ENSDARG00000087873,1,23,18,23,0,0,0,23,5
ENSDART00000128773|ENSDARG00000088293,1,23,18,23,0,0,0,23,5
ENSDART00000129993|ENSDARG00000088927,1,23,19,24,0,0,0,24,5
ENSDART00000131041|ENSDARG00000088293,1,23,18,23,0,0,0,23,5
ENSDART00000132596|ENSDARG00000042112,1,23,19,23,0,0,0,23,4
ENSDART00000133179|ENSDARG00000012422,1,23,19,24,0,0,0,24,5
ENSDART00000134196|ENSDARG00000061454,2,23,18,22,1,0,1,23,5
ENSDART00000134887|ENSDARG00000039392,1,23,18,23,0,0,0,23,5
ENSDART00000136002|ENSDARG00000008904,1,23,18,23,0,0,0,23,5
ENSDART00000136125|ENSDARG00000078966,2,23,19,23,1,0,1,24,5
ENSDART00000137128|ENSDARG00000020621,1,22,19,23,0,1,1,24,5
ENSDART00000137688|ENSDARG00000093503,1,23,18,23,0,0,0,23,5
ENSDART00000138003|ENSDARG00000095060,1,23,18,23,0,0,0,23,5
ENSDART00000139080|ENSDARG00000077722,1,23,18,23,0,0,0,23,5
ENSDART00000140307|ENSDARG00000030967,1,23,18,23,0,0,0,23,5
ENSDART00000141096|ENSDARG00000078335,1,23,18,23,0,0,0,23,5
ENSDART00000141154|ENSDARG00000021735,2,23,19,22,1,0,1,23,4
ENSDART00000141404|ENSDARG00000033367,1,23,18,23,0,0,0,23,5
ENSDART00000141629|ENSDARG00000061454,2,23,18,22,1,0,1,23,5
ENSDART00000142351|ENSDARG00000074480,1,23,19,24,0,0,0,24,5
