Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000008421|ENSDARG00000004874,1,23,19,24,0,0,0,24,5
ENSDART00000010684|ENSDARG00000009724,1,23,18,23,0,0,0,23,5
ENSDART00000017912|ENSDARG00000020884,1,23,18,23,0,0,0,23,5
ENSDART00000021035|ENSDARG00000017740,2,23,19,23,1,0,1,24,5
ENSDART00000022866|ENSDARG00000052462,1,23,18,23,0,0,0,23,5
ENSDART00000029006|ENSDARG00000024829,1,23,18,23,0,0,0,23,5
ENSDART00000030887|ENSDARG00000002593,1,23,18,23,0,0,0,23,5
ENSDART00000037997|ENSDARG00000027799,1,23,19,24,0,0,0,24,5
ENSDART00000039399|ENSDARG00000027611,1,23,18,23,0,0,0,23,5
ENSDART00000046218|ENSDARG00000018566,1,23,18,23,0,0,0,23,5
ENSDART00000053804|ENSDARG00000037017,3,22,19,21,2,1,3,24,5
ENSDART00000057223|ENSDARG00000039162,2,23,19,23,1,0,1,24,5
ENSDART00000077178|ENSDARG00000024829,1,23,18,23,0,0,0,23,5
ENSDART00000083937|ENSDARG00000059963,2,23,18,22,1,0,1,23,5
ENSDART00000090934|ENSDARG00000062693,1,23,19,23,0,0,0,23,4
ENSDART00000091599|ENSDARG00000062968,1,23,18,23,0,0,0,23,5
ENSDART00000092058|ENSDARG00000058480,1,22,18,22,0,1,1,23,5
ENSDART00000098476|ENSDARG00000051854,1,23,18,23,0,0,0,23,5
ENSDART00000101885|ENSDARG00000069807,1,23,18,23,0,0,0,23,5
ENSDART00000102665|ENSDARG00000070132,2,23,18,22,1,0,1,23,5
ENSDART00000104338|ENSDARG00000015310,2,23,18,22,1,0,1,23,5
ENSDART00000105788|ENSDARG00000071506,1,23,19,24,0,0,0,24,5
ENSDART00000109243|ENSDARG00000076104,1,23,18,23,0,0,0,23,5
ENSDART00000109452|ENSDARG00000062968,1,23,18,23,0,0,0,23,5
ENSDART00000114330|ENSDARG00000073869,1,23,18,23,0,0,0,23,5
ENSDART00000121449|ENSDARG00000031768,1,23,18,23,0,0,0,23,5
ENSDART00000122321|ENSDARG00000020085,1,23,18,23,0,0,0,23,5
ENSDART00000124968|ENSDARG00000009724,1,23,18,23,0,0,0,23,5
ENSDART00000125298|ENSDARG00000024829,1,23,18,23,0,0,0,23,5
ENSDART00000127050|ENSDARG00000062693,1,23,19,23,0,0,0,23,4
ENSDART00000129339|ENSDARG00000037965,1,23,19,24,0,0,0,24,5
ENSDART00000130320|ENSDARG00000052462,1,23,18,23,0,0,0,23,5
ENSDART00000130540|ENSDARG00000069807,1,23,18,23,0,0,0,23,5
ENSDART00000132135|ENSDARG00000015310,2,23,18,22,1,0,1,23,5
ENSDART00000132362|ENSDARG00000062968,1,23,18,23,0,0,0,23,5
ENSDART00000134054|ENSDARG00000093058,1,23,23,23,0,0,0,23,0
ENSDART00000134946|ENSDARG00000069807,1,23,18,23,0,0,0,23,5
ENSDART00000139604|ENSDARG00000038869,1,23,18,23,0,0,0,23,5
ENSDART00000145919|ENSDARG00000015310,2,23,18,22,1,0,1,23,5
ENSDART00000148537|ENSDARG00000031768,1,23,18,23,0,0,0,23,5
ENSDART00000149074|ENSDARG00000075891,1,23,18,23,0,0,0,23,5
ENSDART00000149676|ENSDARG00000095952,1,23,19,24,0,0,0,24,5
ENSDART00000152944|ENSDARG00000017740,2,23,19,23,1,0,1,24,5
