Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000006429|ENSDARG00000007959,1,23,18,23,0,0,0,23,5
ENSDART00000023894|ENSDARG00000017661,1,23,19,24,0,0,0,24,5
ENSDART00000031265|ENSDARG00000090035,1,23,19,24,0,0,0,24,5
ENSDART00000037182|ENSDARG00000026028,1,23,18,23,0,0,0,23,5
ENSDART00000043774|ENSDARG00000024124,1,23,23,23,0,0,0,23,0
ENSDART00000048391|ENSDARG00000017661,1,23,19,24,0,0,0,24,5
ENSDART00000051751|ENSDARG00000035680,1,23,18,23,0,0,0,23,5
ENSDART00000053463|ENSDARG00000036820,1,23,18,23,0,0,0,23,5
ENSDART00000055428|ENSDARG00000038025,1,23,18,23,0,0,0,23,5
ENSDART00000059187|ENSDARG00000019585,1,23,18,23,0,0,0,23,5
ENSDART00000078283|ENSDARG00000055885,2,23,18,22,1,0,1,23,5
ENSDART00000079245|ENSDARG00000056722,2,23,19,23,1,0,1,24,5
ENSDART00000091818|ENSDARG00000063056,1,23,18,23,0,0,0,23,5
ENSDART00000103475|ENSDARG00000070480,1,23,18,23,0,0,0,23,5
ENSDART00000103596|ENSDARG00000017180,1,23,21,26,0,0,0,26,5
ENSDART00000106035|ENSDARG00000003085,1,23,18,23,0,0,0,23,5
ENSDART00000108928|ENSDARG00000078745,1,23,18,23,0,0,0,23,5
ENSDART00000110309|ENSDARG00000077706,1,23,18,23,0,0,0,23,5
ENSDART00000111089|ENSDARG00000079634,1,22,18,22,0,1,1,23,5
ENSDART00000111114|ENSDARG00000075785,2,23,19,23,1,0,1,24,5
ENSDART00000111754|ENSDARG00000077431,1,23,18,23,0,0,0,23,5
ENSDART00000114520|ENSDARG00000076158,3,23,18,21,2,0,2,23,5
ENSDART00000122905|ENSDARG00000020795,2,23,18,22,1,0,1,23,5
ENSDART00000129965|ENSDARG00000091595,1,23,21,26,0,0,0,26,5
ENSDART00000132650|ENSDARG00000017661,1,23,19,24,0,0,0,24,5
ENSDART00000134146|ENSDARG00000059604,1,23,19,24,0,0,0,24,5
ENSDART00000136236|ENSDARG00000092845,1,23,18,23,0,0,0,23,5
ENSDART00000136824|ENSDARG00000019585,1,23,18,23,0,0,0,23,5
ENSDART00000136865|ENSDARG00000094451,1,22,20,24,0,1,1,25,5
ENSDART00000139897|ENSDARG00000078114,1,22,20,24,0,1,1,25,5
ENSDART00000140601|ENSDARG00000094387,1,23,18,23,0,0,0,23,5
ENSDART00000141862|ENSDARG00000093872,1,23,18,23,0,0,0,23,5
ENSDART00000142724|ENSDARG00000094659,1,23,18,23,0,0,0,23,5
ENSDART00000142768|ENSDARG00000026028,1,23,18,23,0,0,0,23,5
ENSDART00000143216|ENSDARG00000094149,1,23,18,23,0,0,0,23,5
ENSDART00000143874|ENSDARG00000087110,1,23,18,23,0,0,0,23,5
ENSDART00000144092|ENSDARG00000059474,1,23,20,23,0,0,0,23,3
ENSDART00000144593|ENSDARG00000093872,1,23,18,23,0,0,0,23,5
ENSDART00000147751|ENSDARG00000095051,1,23,18,23,0,0,0,23,5
ENSDART00000149992|ENSDARG00000095819,2,23,19,23,1,0,1,24,5
ENSDART00000152087|ENSDARG00000096457,1,23,18,23,0,0,0,23,5
ENSDART00000154517|ENSDARG00000097459,1,23,21,26,0,0,0,26,5
ENSDART00000154598|ENSDARG00000078994,2,23,19,23,1,0,1,24,5
ENSDART00000155541|ENSDARG00000097118,2,22,19,22,1,1,2,24,5
ENSDART00000155597|ENSDARG00000061798,1,21,19,22,0,2,2,24,5
ENSDART00000155957|ENSDARG00000063056,1,23,18,23,0,0,0,23,5
ENSDART00000157043|ENSDARG00000090035,1,23,19,24,0,0,0,24,5
ENSDART00000157822|ENSDARG00000102896,1,23,19,23,0,0,0,23,4
ENSDART00000158222|ENSDARG00000102839,1,23,18,23,0,0,0,23,5
ENSDART00000158232|ENSDARG00000103554,1,23,18,23,0,0,0,23,5
ENSDART00000158647|ENSDARG00000100332,2,23,18,22,1,0,1,23,5
ENSDART00000159989|ENSDARG00000102584,1,23,20,25,0,0,0,25,5
ENSDART00000160119|ENSDARG00000104428,1,23,18,23,0,0,0,23,5
ENSDART00000160205|ENSDARG00000104080,3,23,18,21,2,0,2,23,5
ENSDART00000160318|ENSDARG00000099562,1,23,18,23,0,0,0,23,5
ENSDART00000160772|ENSDARG00000105085,1,23,18,23,0,0,0,23,5
ENSDART00000160926|ENSDARG00000103383,1,23,20,25,0,0,0,25,5
ENSDART00000161880|ENSDARG00000017180,1,23,21,26,0,0,0,26,5
ENSDART00000162296|ENSDARG00000094451,1,22,20,24,0,1,1,25,5
ENSDART00000162838|ENSDARG00000079388,1,23,18,23,0,0,0,23,5
ENSDART00000162970|ENSDARG00000103777,1,23,19,23,0,0,0,23,4
ENSDART00000163676|ENSDARG00000104678,1,22,18,22,0,1,1,23,5
ENSDART00000167554|ENSDARG00000104686,2,23,19,23,1,0,1,24,5
ENSDART00000168930|ENSDARG00000103554,1,23,18,23,0,0,0,23,5
ENSDART00000169189|ENSDARG00000103417,2,23,18,22,1,0,1,23,5
ENSDART00000169347|ENSDARG00000104560,1,23,18,23,0,0,0,23,5
ENSDART00000172238|ENSDARG00000100097,1,23,18,23,0,0,0,23,5
ENSDART00000172913|ENSDARG00000105430,1,23,18,23,0,0,0,23,5
ENSDART00000172999|ENSDARG00000100097,1,23,18,23,0,0,0,23,5
ENSDART00000173380|ENSDARG00000105328,1,23,18,23,0,0,0,23,5
ENSDART00000173505|ENSDARG00000056722,2,23,19,23,1,0,1,24,5
ENSDART00000181506|ENSDARG00000061798,1,21,19,22,0,2,2,24,5
ENSDART00000182915|ENSDARG00000110020,2,23,20,24,1,0,1,25,5
ENSDART00000183112|ENSDARG00000104686,2,23,19,23,1,0,1,24,5
ENSDART00000183536|ENSDARG00000095051,1,23,18,23,0,0,0,23,5
ENSDART00000185126|ENSDARG00000114307,1,23,18,23,0,0,0,23,5
ENSDART00000185315|ENSDARG00000061798,1,21,19,22,0,2,2,24,5
