Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000005118|ENSDARG00000013302,1,22,18,22,0,1,1,23,5
ENSDART00000005547|ENSDARG00000002696,1,22,18,22,0,1,1,23,5
ENSDART00000005696|ENSDARG00000019525,1,23,19,24,0,0,0,24,5
ENSDART00000006549|ENSDARG00000020289,1,23,20,25,0,0,0,25,5
ENSDART00000007013|ENSDARG00000008487,1,23,19,23,0,0,0,23,4
ENSDART00000008987|ENSDARG00000009796,1,21,18,21,0,2,2,23,5
ENSDART00000009363|ENSDARG00000013775,1,23,18,23,0,0,0,23,5
ENSDART00000009768|ENSDARG00000021590,1,23,19,24,0,0,0,24,5
ENSDART00000010986|ENSDARG00000069752,1,23,20,25,0,0,0,25,5
ENSDART00000012399|ENSDARG00000013861,1,23,18,23,0,0,0,23,5
ENSDART00000012445|ENSDARG00000037813,1,23,18,23,0,0,0,23,5
ENSDART00000013409|ENSDARG00000019791,1,22,19,23,0,1,1,24,5
ENSDART00000016602|ENSDARG00000007561,1,23,18,23,0,0,0,23,5
ENSDART00000016814|ENSDARG00000012586,1,23,19,24,0,0,0,24,5
ENSDART00000017932|ENSDARG00000019950,1,23,18,23,0,0,0,23,5
ENSDART00000019006|ENSDARG00000007220,1,23,19,24,0,0,0,24,5
ENSDART00000019165|ENSDARG00000021239,1,23,18,23,0,0,0,23,5
ENSDART00000020033|ENSDARG00000009494,1,23,20,24,0,0,0,24,4
ENSDART00000020099|ENSDARG00000007783,1,23,18,23,0,0,0,23,5
ENSDART00000020233|ENSDARG00000019484,1,23,18,23,0,0,0,23,5
ENSDART00000020389|ENSDARG00000016936,1,21,18,21,0,2,2,23,5
ENSDART00000023038|ENSDARG00000010132,1,23,18,23,0,0,0,23,5
ENSDART00000023163|ENSDARG00000019614,1,21,18,21,0,2,2,23,5
ENSDART00000026907|ENSDARG00000002707,1,23,18,23,0,0,0,23,5
ENSDART00000032695|ENSDARG00000025162,1,23,18,23,0,0,0,23,5
ENSDART00000033053|ENSDARG00000003789,2,23,19,23,1,0,1,24,5
ENSDART00000042413|ENSDARG00000030722,1,23,19,24,0,0,0,24,5
ENSDART00000043058|ENSDARG00000037122,1,21,18,21,0,2,2,23,5
ENSDART00000043236|ENSDARG00000031702,1,22,18,22,0,1,1,23,5
ENSDART00000043938|ENSDARG00000030092,1,23,18,23,0,0,0,23,5
ENSDART00000046122|ENSDARG00000044902,1,23,19,24,0,0,0,24,5
ENSDART00000046959|ENSDARG00000026482,1,23,18,23,0,0,0,23,5
ENSDART00000047857|ENSDARG00000008805,1,23,18,23,0,0,0,23,5
ENSDART00000048281|ENSDARG00000026548,1,23,20,25,0,0,0,25,5
ENSDART00000048391|ENSDARG00000017661,1,22,18,22,0,1,1,23,5
ENSDART00000049684|ENSDARG00000035005,2,23,18,22,1,0,1,23,5
ENSDART00000053841|ENSDARG00000037042,1,23,19,23,0,0,0,23,4
ENSDART00000056002|ENSDARG00000038384,1,23,18,23,0,0,0,23,5
ENSDART00000056441|ENSDARG00000008191,1,23,19,23,0,0,0,23,4
ENSDART00000057484|ENSDARG00000039335,2,23,18,22,1,0,1,23,5
ENSDART00000057710|ENSDARG00000039497,1,23,18,23,0,0,0,23,5
ENSDART00000057869|ENSDARG00000039605,1,23,19,24,0,0,0,24,5
ENSDART00000058351|ENSDARG00000039892,1,23,18,23,0,0,0,23,5
ENSDART00000058383|ENSDARG00000039913,1,23,18,23,0,0,0,23,5
ENSDART00000059447|ENSDARG00000056009,1,23,18,23,0,0,0,23,5
ENSDART00000061775|ENSDARG00000042147,1,23,18,23,0,0,0,23,5
ENSDART00000062793|ENSDARG00000042780,2,23,18,22,1,0,1,23,5
ENSDART00000063818|ENSDARG00000025091,2,23,19,23,1,0,1,24,5
ENSDART00000065092|ENSDARG00000014655,2,23,18,22,1,0,1,23,5
ENSDART00000065238|ENSDARG00000017425,2,23,19,23,1,0,1,24,5
ENSDART00000067261|ENSDARG00000045753,1,23,19,24,0,0,0,24,5
ENSDART00000067397|ENSDARG00000033134,1,23,18,23,0,0,0,23,5
ENSDART00000067558|ENSDARG00000045968,1,23,18,23,0,0,0,23,5
ENSDART00000074787|ENSDARG00000052856,1,22,18,22,0,1,1,23,5
ENSDART00000075826|ENSDARG00000053744,1,23,19,24,0,0,0,24,5
ENSDART00000076023|ENSDARG00000053906,1,23,18,23,0,0,0,23,5
ENSDART00000076542|ENSDARG00000094752,1,23,19,24,0,0,0,24,5
ENSDART00000076600|ENSDARG00000054420,1,23,19,24,0,0,0,24,5
ENSDART00000076992|ENSDARG00000028148,1,23,18,23,0,0,0,23,5
ENSDART00000076998|ENSDARG00000028148,1,23,18,23,0,0,0,23,5
ENSDART00000077600|ENSDARG00000074844,1,22,18,22,0,1,1,23,5
ENSDART00000077647|ENSDARG00000055302,1,22,18,22,0,1,1,23,5
ENSDART00000078241|ENSDARG00000077415,1,23,19,23,0,0,0,23,4
ENSDART00000078893|ENSDARG00000025091,2,23,19,23,1,0,1,24,5
ENSDART00000079145|ENSDARG00000056619,1,23,20,25,0,0,0,25,5
ENSDART00000079461|ENSDARG00000003789,2,23,19,23,1,0,1,24,5
ENSDART00000079566|ENSDARG00000057004,2,23,18,22,1,0,1,23,5
ENSDART00000080886|ENSDARG00000058088,1,23,18,23,0,0,0,23,5
ENSDART00000082445|ENSDARG00000087393,1,23,19,24,0,0,0,24,5
ENSDART00000082780|ENSDARG00000059503,1,23,19,24,0,0,0,24,5
ENSDART00000083999|ENSDARG00000059972,2,23,19,23,1,0,1,24,5
ENSDART00000085051|ENSDARG00000060397,2,23,18,22,1,0,1,23,5
ENSDART00000085087|ENSDARG00000060411,2,23,18,22,1,0,1,23,5
ENSDART00000085281|ENSDARG00000093374,1,23,18,23,0,0,0,23,5
ENSDART00000085481|ENSDARG00000060564,2,23,19,23,1,0,1,24,5
