Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000000486|ENSDARG00000000472,1,23,19,23,0,0,0,23,4
ENSDART00000002242|ENSDARG00000095751,1,23,18,23,0,0,0,23,5
ENSDART00000003694|ENSDARG00000017841,1,23,19,23,0,0,0,23,4
ENSDART00000003715|ENSDARG00000021370,1,23,19,24,0,0,0,24,5
ENSDART00000005845|ENSDARG00000016794,1,23,18,23,0,0,0,23,5
ENSDART00000008277|ENSDARG00000013006,1,22,18,22,0,1,1,23,5
ENSDART00000009343|ENSDARG00000014101,1,23,18,23,0,0,0,23,5
ENSDART00000011087|ENSDARG00000007278,1,23,18,23,0,0,0,23,5
ENSDART00000012064|ENSDARG00000014849,1,23,19,23,0,0,0,23,4
ENSDART00000012241|ENSDARG00000014943,1,23,19,24,0,0,0,24,5
ENSDART00000015664|ENSDARG00000011819,1,23,19,24,0,0,0,24,5
ENSDART00000016976|ENSDARG00000012777,1,23,18,23,0,0,0,23,5
ENSDART00000017138|ENSDARG00000008414,1,22,18,22,0,1,1,23,5
ENSDART00000019455|ENSDARG00000006603,1,23,18,23,0,0,0,23,5
ENSDART00000019527|ENSDARG00000011410,1,23,18,23,0,0,0,23,5
ENSDART00000022042|ENSDARG00000005775,1,21,18,21,0,2,2,23,5
ENSDART00000022640|ENSDARG00000041581,1,22,19,23,0,1,1,24,5
ENSDART00000023851|ENSDARG00000018809,1,23,18,23,0,0,0,23,5
ENSDART00000024064|ENSDARG00000014386,1,23,18,23,0,0,0,23,5
ENSDART00000025635|ENSDARG00000013708,2,23,18,22,1,0,1,23,5
ENSDART00000026492|ENSDARG00000018820,1,23,19,24,0,0,0,24,5
ENSDART00000026808|ENSDARG00000014103,1,23,19,24,0,0,0,24,5
ENSDART00000026879|ENSDARG00000034063,1,23,18,23,0,0,0,23,5
ENSDART00000028084|ENSDARG00000004721,1,23,18,23,0,0,0,23,5
ENSDART00000028856|ENSDARG00000008398,2,23,18,22,1,0,1,23,5
ENSDART00000029599|ENSDARG00000022378,1,23,19,24,0,0,0,24,5
ENSDART00000031211|ENSDARG00000076557,3,23,18,21,2,0,2,23,5
ENSDART00000032861|ENSDARG00000036826,1,23,19,24,0,0,0,24,5
ENSDART00000038465|ENSDARG00000004840,1,23,19,24,0,0,0,24,5
ENSDART00000039170|ENSDARG00000037894,1,23,18,23,0,0,0,23,5
ENSDART00000039386|ENSDARG00000023303,1,21,18,21,0,2,2,23,5
ENSDART00000039536|ENSDARG00000034174,2,23,18,22,1,0,1,23,5
ENSDART00000040456|ENSDARG00000016464,2,23,19,22,1,0,1,23,4
ENSDART00000041515|ENSDARG00000033320,1,23,19,24,0,0,0,24,5
ENSDART00000045182|ENSDARG00000051711,1,23,19,24,0,0,0,24,5
ENSDART00000045504|ENSDARG00000032876,1,23,18,23,0,0,0,23,5
ENSDART00000046599|ENSDARG00000055973,1,23,18,23,0,0,0,23,5
ENSDART00000049177|ENSDARG00000034522,1,23,18,23,0,0,0,23,5
ENSDART00000050658|ENSDARG00000033355,1,23,18,23,0,0,0,23,5
ENSDART00000050879|ENSDARG00000035133,1,23,18,23,0,0,0,23,5
ENSDART00000051542|ENSDARG00000054362,1,23,18,23,0,0,0,23,5
ENSDART00000052461|ENSDARG00000070740,1,23,19,24,0,0,0,24,5
ENSDART00000053001|ENSDARG00000036481,1,23,18,23,0,0,0,23,5
ENSDART00000054807|ENSDARG00000056979,1,23,18,23,0,0,0,23,5
ENSDART00000055593|ENSDARG00000076933,1,23,18,23,0,0,0,23,5
ENSDART00000056645|ENSDARG00000032175,1,23,20,25,0,0,0,25,5
ENSDART00000057541|ENSDARG00000039374,1,23,18,23,0,0,0,23,5
ENSDART00000057885|ENSDARG00000039615,1,23,18,23,0,0,0,23,5
ENSDART00000059926|ENSDARG00000095688,1,23,18,23,0,0,0,23,5
ENSDART00000060432|ENSDARG00000041226,1,23,19,23,0,0,0,23,4
ENSDART00000060442|ENSDARG00000041243,1,23,20,25,0,0,0,25,5
ENSDART00000060590|ENSDARG00000023302,1,23,19,24,0,0,0,24,5
ENSDART00000062532|ENSDARG00000042627,1,23,18,23,0,0,0,23,5
ENSDART00000062536|ENSDARG00000042630,1,23,20,24,0,0,0,24,4
ENSDART00000062654|ENSDARG00000042703,1,23,19,24,0,0,0,24,5
ENSDART00000065851|ENSDARG00000044802,2,23,18,22,1,0,1,23,5
ENSDART00000066072|ENSDARG00000044949,1,23,19,23,0,0,0,23,4
ENSDART00000073604|ENSDARG00000051896,1,23,19,23,0,0,0,23,4
ENSDART00000074174|ENSDARG00000052344,1,23,18,23,0,0,0,23,5
ENSDART00000076481|ENSDARG00000054302,1,23,18,23,0,0,0,23,5
ENSDART00000076764|ENSDARG00000054570,1,23,19,24,0,0,0,24,5
ENSDART00000076796|ENSDARG00000054570,1,23,19,24,0,0,0,24,5
ENSDART00000077089|ENSDARG00000054833,1,23,21,26,0,0,0,26,5
ENSDART00000077484|ENSDARG00000055162,1,23,18,23,0,0,0,23,5
ENSDART00000077809|ENSDARG00000056029,1,23,20,25,0,0,0,25,5
ENSDART00000079506|ENSDARG00000056932,1,23,19,24,0,0,0,24,5
ENSDART00000079855|ENSDARG00000057245,1,23,18,23,0,0,0,23,5
