Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000003891|ENSDARG00000070787,1,21,19,21,0,2,2,23,4
ENSDART00000015016|ENSDARG00000015273,1,23,18,23,0,0,0,23,5
ENSDART00000047143|ENSDARG00000029480,1,22,18,22,0,1,1,23,5
ENSDART00000047857|ENSDARG00000008805,1,23,18,23,0,0,0,23,5
ENSDART00000052323|ENSDARG00000036038,1,23,19,24,0,0,0,24,5
ENSDART00000073508|ENSDARG00000051823,1,23,20,24,0,0,0,24,4
ENSDART00000075873|ENSDARG00000053774,1,23,18,23,0,0,0,23,5
ENSDART00000081018|ENSDARG00000070787,1,21,19,21,0,2,2,23,4
ENSDART00000083066|ENSDARG00000059629,2,22,18,21,1,1,2,23,5
ENSDART00000102411|ENSDARG00000056753,1,23,19,24,0,0,0,24,5
ENSDART00000105726|ENSDARG00000092553,1,23,23,23,0,0,0,23,0
ENSDART00000111512|ENSDARG00000074846,2,23,18,22,1,0,1,23,5
ENSDART00000112234|ENSDARG00000078752,1,23,18,23,0,0,0,23,5
ENSDART00000113358|ENSDARG00000059760,1,23,19,24,0,0,0,24,5
ENSDART00000114669|ENSDARG00000079013,1,23,19,24,0,0,0,24,5
ENSDART00000125466|ENSDARG00000053774,1,23,18,23,0,0,0,23,5
ENSDART00000125715|ENSDARG00000006008,3,23,18,21,2,0,2,23,5
ENSDART00000129134|ENSDARG00000010583,1,23,19,24,0,0,0,24,5
ENSDART00000137052|ENSDARG00000029480,1,22,18,22,0,1,1,23,5
ENSDART00000139422|ENSDARG00000076414,1,23,18,23,0,0,0,23,5
ENSDART00000140369|ENSDARG00000092553,1,23,23,23,0,0,0,23,0
ENSDART00000140908|ENSDARG00000062020,1,22,19,23,0,1,1,24,5
ENSDART00000144335|ENSDARG00000092660,2,23,18,22,1,0,1,23,5
ENSDART00000145138|ENSDARG00000006008,3,23,18,21,2,0,2,23,5
ENSDART00000145257|ENSDARG00000076414,1,23,18,23,0,0,0,23,5
ENSDART00000146631|ENSDARG00000076414,1,23,18,23,0,0,0,23,5
ENSDART00000146779|ENSDARG00000045886,2,23,18,22,1,0,1,23,5
ENSDART00000157319|ENSDARG00000051823,1,23,20,24,0,0,0,24,4
ENSDART00000158871|ENSDARG00000062020,1,22,19,23,0,1,1,24,5
ENSDART00000160077|ENSDARG00000010583,1,23,19,24,0,0,0,24,5
ENSDART00000160544|ENSDARG00000101293,1,23,20,24,0,0,0,24,4
ENSDART00000164641|ENSDARG00000103121,1,23,18,23,0,0,0,23,5
ENSDART00000165059|ENSDARG00000103124,1,23,18,23,0,0,0,23,5
ENSDART00000165252|ENSDARG00000103124,1,23,18,23,0,0,0,23,5
ENSDART00000165353|ENSDARG00000078752,1,23,18,23,0,0,0,23,5
ENSDART00000165450|ENSDARG00000062020,1,22,19,23,0,1,1,24,5
ENSDART00000167247|ENSDARG00000100897,1,22,20,24,0,1,1,25,5
ENSDART00000169030|ENSDARG00000101293,1,23,20,24,0,0,0,24,4
ENSDART00000170959|ENSDARG00000105279,1,23,18,23,0,0,0,23,5
ENSDART00000172579|ENSDARG00000062020,1,22,19,23,0,1,1,24,5
ENSDART00000172734|ENSDARG00000103186,1,23,18,23,0,0,0,23,5
ENSDART00000177244|ENSDARG00000100897,1,22,20,24,0,1,1,25,5
ENSDART00000177669|ENSDARG00000062020,1,22,19,23,0,1,1,24,5
ENSDART00000180372|ENSDARG00000070787,1,21,19,21,0,2,2,23,4
ENSDART00000181572|ENSDARG00000078752,1,23,18,23,0,0,0,23,5
ENSDART00000182528|ENSDARG00000099786,1,23,18,23,0,0,0,23,5
ENSDART00000182926|ENSDARG00000053774,1,23,18,23,0,0,0,23,5
ENSDART00000185352|ENSDARG00000078752,1,23,18,23,0,0,0,23,5
ENSDART00000189074|ENSDARG00000062020,1,22,19,23,0,1,1,24,5
ENSDART00000189516|ENSDARG00000078752,1,23,18,23,0,0,0,23,5
ENSDART00000190979|ENSDARG00000036038,1,23,19,24,0,0,0,24,5
ENSDART00000193658|ENSDARG00000116497,1,22,18,22,0,1,1,23,5
