Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000020389|ENSDARG00000016936,1,23,18,23,0,0,0,23,5
ENSDART00000022758|ENSDARG00000016513,1,23,18,23,0,0,0,23,5
ENSDART00000023531|ENSDARG00000013441,1,23,20,25,0,0,0,25,5
ENSDART00000023575|ENSDARG00000005645,1,22,18,22,0,1,1,23,5
ENSDART00000024778|ENSDARG00000005645,1,22,18,22,0,1,1,23,5
ENSDART00000024922|ENSDARG00000021389,2,23,18,22,1,0,1,23,5
ENSDART00000025326|ENSDARG00000008370,1,22,19,22,0,1,1,23,4
ENSDART00000028217|ENSDARG00000025397,2,23,19,23,1,0,1,24,5
ENSDART00000028997|ENSDARG00000073843,1,23,18,23,0,0,0,23,5
ENSDART00000029175|ENSDARG00000015356,2,23,18,22,1,0,1,23,5
ENSDART00000034555|ENSDARG00000020913,1,23,20,25,0,0,0,25,5
ENSDART00000034968|ENSDARG00000010051,1,22,19,23,0,1,1,24,5
ENSDART00000049586|ENSDARG00000021389,2,23,18,22,1,0,1,23,5
ENSDART00000049842|ENSDARG00000023900,1,23,18,23,0,0,0,23,5
ENSDART00000058527|ENSDARG00000040005,1,22,18,22,0,1,1,23,5
ENSDART00000058894|ENSDARG00000040258,1,23,18,23,0,0,0,23,5
ENSDART00000060166|ENSDARG00000041068,1,23,18,23,0,0,0,23,5
ENSDART00000060266|ENSDARG00000041119,1,23,19,24,0,0,0,24,5
ENSDART00000061432|ENSDARG00000041917,1,23,18,23,0,0,0,23,5
ENSDART00000062191|ENSDARG00000042418,1,22,18,22,0,1,1,23,5
ENSDART00000064586|ENSDARG00000044002,1,23,19,23,0,0,0,23,4
ENSDART00000064617|ENSDARG00000052765,2,23,18,22,1,0,1,23,5
ENSDART00000074671|ENSDARG00000052765,2,23,18,22,1,0,1,23,5
ENSDART00000077647|ENSDARG00000055302,1,23,19,23,0,0,0,23,4
ENSDART00000082332|ENSDARG00000059256,1,23,18,23,0,0,0,23,5
ENSDART00000083790|ENSDARG00000059897,1,23,19,24,0,0,0,24,5
ENSDART00000087597|ENSDARG00000061436,1,23,18,23,0,0,0,23,5
ENSDART00000097723|ENSDARG00000053956,1,23,19,24,0,0,0,24,5
ENSDART00000104906|ENSDARG00000071097,1,23,19,24,0,0,0,24,5
ENSDART00000109277|ENSDARG00000074597,1,23,18,23,0,0,0,23,5
ENSDART00000112032|ENSDARG00000076434,1,23,18,23,0,0,0,23,5
ENSDART00000112058|ENSDARG00000075264,2,22,19,22,1,1,2,24,5
ENSDART00000122535|ENSDARG00000087962,2,23,19,23,1,0,1,24,5
ENSDART00000123769|ENSDARG00000091124,2,23,18,22,1,0,1,23,5
ENSDART00000124215|ENSDARG00000005679,1,22,18,22,0,1,1,23,5
ENSDART00000127259|ENSDARG00000016513,1,23,18,23,0,0,0,23,5
ENSDART00000131132|ENSDARG00000040005,1,22,18,22,0,1,1,23,5
ENSDART00000131732|ENSDARG00000059897,1,23,19,24,0,0,0,24,5
ENSDART00000133592|ENSDARG00000092311,3,23,19,21,2,0,2,23,4
ENSDART00000133720|ENSDARG00000068749,1,23,19,24,0,0,0,24,5
ENSDART00000134725|ENSDARG00000062330,1,23,18,23,0,0,0,23,5
ENSDART00000138555|ENSDARG00000023900,1,23,18,23,0,0,0,23,5
ENSDART00000138996|ENSDARG00000091411,1,23,18,23,0,0,0,23,5
ENSDART00000140154|ENSDARG00000094458,3,23,19,21,2,0,2,23,4
ENSDART00000141377|ENSDARG00000075264,2,22,19,22,1,1,2,24,5
ENSDART00000141634|ENSDARG00000055302,1,23,19,23,0,0,0,23,4
ENSDART00000143139|ENSDARG00000010051,1,22,19,23,0,1,1,24,5
ENSDART00000143944|ENSDARG00000025397,2,23,19,23,1,0,1,24,5
ENSDART00000143969|ENSDARG00000095301,1,23,18,23,0,0,0,23,5
ENSDART00000144705|ENSDARG00000016936,1,23,18,23,0,0,0,23,5
ENSDART00000146281|ENSDARG00000020979,1,22,18,22,0,1,1,23,5
ENSDART00000146795|ENSDARG00000074597,1,23,18,23,0,0,0,23,5
ENSDART00000147638|ENSDARG00000070558,1,23,19,23,0,0,0,23,4
ENSDART00000147856|ENSDARG00000052765,2,23,18,22,1,0,1,23,5
ENSDART00000149151|ENSDARG00000053956,1,23,19,24,0,0,0,24,5
ENSDART00000151389|ENSDARG00000071097,1,23,19,24,0,0,0,24,5
ENSDART00000153576|ENSDARG00000096872,1,22,18,22,0,1,1,23,5
ENSDART00000153818|ENSDARG00000100815,2,23,19,23,1,0,1,24,5
ENSDART00000154587|ENSDARG00000025397,2,23,19,23,1,0,1,24,5
ENSDART00000154963|ENSDARG00000100815,2,23,19,23,1,0,1,24,5
ENSDART00000155900|ENSDARG00000075509,2,23,19,23,1,0,1,24,5
ENSDART00000156421|ENSDARG00000073843,1,23,18,23,0,0,0,23,5
ENSDART00000157013|ENSDARG00000097886,1,23,19,24,0,0,0,24,5
ENSDART00000157243|ENSDARG00000051814,1,23,18,23,0,0,0,23,5
ENSDART00000157480|ENSDARG00000104450,1,22,18,22,0,1,1,23,5
ENSDART00000158245|ENSDARG00000103919,1,23,23,23,0,0,0,23,0
ENSDART00000161002|ENSDARG00000104958,1,23,18,23,0,0,0,23,5
ENSDART00000161063|ENSDARG00000099742,1,23,19,24,0,0,0,24,5
ENSDART00000161708|ENSDARG00000100255,1,23,20,25,0,0,0,25,5
ENSDART00000161921|ENSDARG00000099743,1,23,18,23,0,0,0,23,5
ENSDART00000163976|ENSDARG00000105285,1,23,20,24,0,0,0,24,4
ENSDART00000164031|ENSDARG00000098326,1,23,18,23,0,0,0,23,5
ENSDART00000164040|ENSDARG00000062330,1,23,18,23,0,0,0,23,5
ENSDART00000164464|ENSDARG00000102618,1,23,18,23,0,0,0,23,5
ENSDART00000164581|ENSDARG00000105113,1,22,18,22,0,1,1,23,5
ENSDART00000166999|ENSDARG00000099306,1,23,19,24,0,0,0,24,5
ENSDART00000168320|ENSDARG00000104786,1,22,19,22,0,1,1,23,4
ENSDART00000168952|ENSDARG00000100403,1,23,18,23,0,0,0,23,5
ENSDART00000171504|ENSDARG00000100255,1,23,20,25,0,0,0,25,5
ENSDART00000172489|ENSDARG00000098326,1,23,18,23,0,0,0,23,5
ENSDART00000173086|ENSDARG00000099306,1,23,19,24,0,0,0,24,5
ENSDART00000173093|ENSDARG00000052765,2,23,18,22,1,0,1,23,5
ENSDART00000173326|ENSDARG00000099054,1,23,19,24,0,0,0,24,5
ENSDART00000173982|ENSDARG00000102101,1,23,19,24,0,0,0,24,5
ENSDART00000174760|ENSDARG00000104786,1,22,19,22,0,1,1,23,4
ENSDART00000175208|ENSDARG00000008370,1,22,19,22,0,1,1,23,4
ENSDART00000177391|ENSDARG00000052765,2,23,18,22,1,0,1,23,5
ENSDART00000179748|ENSDARG00000059987,1,23,18,23,0,0,0,23,5
ENSDART00000179907|ENSDARG00000105285,1,23,20,24,0,0,0,24,4
ENSDART00000181463|ENSDARG00000025397,2,23,19,23,1,0,1,24,5
ENSDART00000182658|ENSDARG00000109743,1,22,18,22,0,1,1,23,5
ENSDART00000184070|ENSDARG00000110949,1,22,18,22,0,1,1,23,5
ENSDART00000184529|ENSDARG00000104450,1,22,18,22,0,1,1,23,5
ENSDART00000184891|ENSDARG00000104786,1,22,19,22,0,1,1,23,4
ENSDART00000186329|ENSDARG00000113858,1,22,18,22,0,1,1,23,5
ENSDART00000186456|ENSDARG00000005645,1,22,18,22,0,1,1,23,5
ENSDART00000191105|ENSDARG00000109460,1,22,18,22,0,1,1,23,5
ENSDART00000192825|ENSDARG00000114191,1,23,18,23,0,0,0,23,5
ENSDART00000193127|ENSDARG00000059987,1,23,18,23,0,0,0,23,5
ENSDART00000194293|ENSDARG00000117238,1,22,18,22,0,1,1,23,5
ENSDART00000194676|ENSDARG00000117238,1,22,18,22,0,1,1,23,5
ENSDART00000194844|ENSDARG00000117614,1,23,18,23,0,0,0,23,5
