Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000004423|ENSDARG00000007955,1,23,18,23,0,0,0,23,5
ENSDART00000008043|ENSDARG00000021137,1,23,20,24,0,0,0,24,4
ENSDART00000008243|ENSDARG00000009505,1,22,18,22,0,1,1,23,5
ENSDART00000009217|ENSDARG00000011072,1,23,20,24,0,0,0,24,4
ENSDART00000011087|ENSDARG00000007278,1,21,18,21,0,2,2,23,5
ENSDART00000013506|ENSDARG00000114958,1,23,19,24,0,0,0,24,5
ENSDART00000013575|ENSDARG00000010481,2,23,18,22,1,0,1,23,5
ENSDART00000013591|ENSDARG00000003641,1,23,19,23,0,0,0,23,4
ENSDART00000014970|ENSDARG00000005544,1,23,18,23,0,0,0,23,5
ENSDART00000015159|ENSDARG00000020845,1,23,18,23,0,0,0,23,5
ENSDART00000015643|ENSDARG00000022918,1,23,18,23,0,0,0,23,5
ENSDART00000016303|ENSDARG00000001785,1,23,18,23,0,0,0,23,5
ENSDART00000017941|ENSDARG00000016630,1,23,19,24,0,0,0,24,5
ENSDART00000020259|ENSDARG00000013784,2,23,18,22,1,0,1,23,5
ENSDART00000022019|ENSDARG00000018460,1,23,18,23,0,0,0,23,5
ENSDART00000028237|ENSDARG00000035452,1,23,20,25,0,0,0,25,5
ENSDART00000035761|ENSDARG00000018192,1,23,20,25,0,0,0,25,5
ENSDART00000042002|ENSDARG00000002771,1,23,18,23,0,0,0,23,5
ENSDART00000054388|ENSDARG00000000606,1,23,18,23,0,0,0,23,5
ENSDART00000055393|ENSDARG00000038005,1,23,18,23,0,0,0,23,5
ENSDART00000060134|ENSDARG00000041040,1,23,18,23,0,0,0,23,5
ENSDART00000062633|ENSDARG00000042690,1,23,18,23,0,0,0,23,5
ENSDART00000064817|ENSDARG00000044144,1,23,18,23,0,0,0,23,5
ENSDART00000065206|ENSDARG00000044400,2,23,18,22,1,0,1,23,5
ENSDART00000065337|ENSDARG00000044491,1,22,18,22,0,1,1,23,5
ENSDART00000065821|ENSDARG00000090768,1,23,19,24,0,0,0,24,5
ENSDART00000074181|ENSDARG00000090768,1,23,19,24,0,0,0,24,5
ENSDART00000074768|ENSDARG00000052842,4,23,18,20,3,0,3,23,5
ENSDART00000074923|ENSDARG00000018460,1,23,18,23,0,0,0,23,5
ENSDART00000075726|ENSDARG00000053666,2,23,18,22,1,0,1,23,5
ENSDART00000075730|ENSDARG00000053666,2,23,18,22,1,0,1,23,5
ENSDART00000076040|ENSDARG00000053918,2,23,18,22,1,0,1,23,5
ENSDART00000080408|ENSDARG00000057688,1,23,18,23,0,0,0,23,5
ENSDART00000081827|ENSDARG00000007278,1,21,18,21,0,2,2,23,5
ENSDART00000082153|ENSDARG00000042282,1,23,19,24,0,0,0,24,5
ENSDART00000083539|ENSDARG00000079716,1,22,19,23,0,1,1,24,5
ENSDART00000083555|ENSDARG00000059812,1,23,20,25,0,0,0,25,5
ENSDART00000083890|ENSDARG00000059925,1,21,19,22,0,2,2,24,5
ENSDART00000084958|ENSDARG00000060354,2,23,18,22,1,0,1,23,5
ENSDART00000091836|ENSDARG00000063062,2,23,19,22,1,0,1,23,4
ENSDART00000097574|ENSDARG00000035285,1,22,18,22,0,1,1,23,5
ENSDART00000098059|ENSDARG00000018460,1,23,18,23,0,0,0,23,5
ENSDART00000099958|ENSDARG00000068967,1,23,18,23,0,0,0,23,5
ENSDART00000101043|ENSDARG00000003615,1,23,20,25,0,0,0,25,5
ENSDART00000101136|ENSDARG00000069467,1,22,18,22,0,1,1,23,5
ENSDART00000102525|ENSDARG00000001890,2,23,18,22,1,0,1,23,5
ENSDART00000102784|ENSDARG00000070174,1,23,19,24,0,0,0,24,5
ENSDART00000102893|ENSDARG00000070230,1,23,19,23,0,0,0,23,4
ENSDART00000105661|ENSDARG00000007891,1,23,19,24,0,0,0,24,5
ENSDART00000106333|ENSDARG00000091029,1,23,19,24,0,0,0,24,5
ENSDART00000108647|ENSDARG00000077732,1,23,23,23,0,0,0,23,0
ENSDART00000109954|ENSDARG00000017007,1,23,19,24,0,0,0,24,5
ENSDART00000112398|ENSDARG00000003641,1,23,19,23,0,0,0,23,4
ENSDART00000113314|ENSDARG00000079119,1,23,18,23,0,0,0,23,5
