Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000006489|ENSDARG00000004078,1,23,18,23,0,0,0,23,5
ENSDART00000006892|ENSDARG00000009136,1,23,19,23,0,0,0,23,4
ENSDART00000007531|ENSDARG00000004246,3,23,18,21,2,0,2,23,5
ENSDART00000017090|ENSDARG00000010785,1,22,18,22,0,1,1,23,5
ENSDART00000020167|ENSDARG00000013926,1,23,20,25,0,0,0,25,5
ENSDART00000021502|ENSDARG00000006754,2,23,19,23,1,0,1,24,5
ENSDART00000024316|ENSDARG00000019507,1,23,19,24,0,0,0,24,5
ENSDART00000028938|ENSDARG00000097017,1,23,19,24,0,0,0,24,5
ENSDART00000030835|ENSDARG00000027082,1,23,18,23,0,0,0,23,5
ENSDART00000036350|ENSDARG00000022730,1,23,18,23,0,0,0,23,5
ENSDART00000040740|ENSDARG00000011171,1,23,20,25,0,0,0,25,5
ENSDART00000043091|ENSDARG00000016551,1,23,21,26,0,0,0,26,5
ENSDART00000044276|ENSDARG00000016348,1,23,19,24,0,0,0,24,5
ENSDART00000046297|ENSDARG00000029476,1,23,18,23,0,0,0,23,5
ENSDART00000046423|ENSDARG00000032708,1,22,18,22,0,1,1,23,5
ENSDART00000053152|ENSDARG00000036587,1,23,19,24,0,0,0,24,5
ENSDART00000055541|ENSDARG00000038099,2,23,18,22,1,0,1,23,5
ENSDART00000057689|ENSDARG00000039486,1,23,20,24,0,0,0,24,4
ENSDART00000061115|ENSDARG00000041699,3,23,18,21,2,0,2,23,5
ENSDART00000061394|ENSDARG00000029907,1,23,18,23,0,0,0,23,5
ENSDART00000067579|ENSDARG00000112170,1,23,18,23,0,0,0,23,5
ENSDART00000075521|ENSDARG00000053483,1,23,20,25,0,0,0,25,5
ENSDART00000081595|ENSDARG00000014259,1,22,19,23,0,1,1,24,5
ENSDART00000088422|ENSDARG00000051879,1,23,18,23,0,0,0,23,5
ENSDART00000090052|ENSDARG00000062349,1,22,18,22,0,1,1,23,5
ENSDART00000097530|ENSDARG00000079456,2,23,18,22,1,0,1,23,5
ENSDART00000099224|ENSDARG00000020219,1,23,18,23,0,0,0,23,5
ENSDART00000100105|ENSDARG00000057286,2,23,20,24,1,0,1,25,5
ENSDART00000102640|ENSDARG00000070119,2,23,19,23,1,0,1,24,5
ENSDART00000105322|ENSDARG00000019834,1,23,19,23,0,0,0,23,4
ENSDART00000105749|ENSDARG00000071491,1,23,18,23,0,0,0,23,5
