Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000003517|ENSDARG00000008480,1,22,18,22,0,1,1,23,5
ENSDART00000004181|ENSDARG00000017047,1,23,18,23,0,0,0,23,5
ENSDART00000007961|ENSDARG00000034852,1,22,20,24,0,1,1,25,5
ENSDART00000010658|ENSDARG00000014556,1,22,19,23,0,1,1,24,5
ENSDART00000012653|ENSDARG00000004647,1,23,18,23,0,0,0,23,5
ENSDART00000015232|ENSDARG00000040433,1,23,18,23,0,0,0,23,5
ENSDART00000018107|ENSDARG00000019250,1,22,18,22,0,1,1,23,5
ENSDART00000018817|ENSDARG00000010442,2,23,19,23,1,0,1,24,5
ENSDART00000019196|ENSDARG00000019920,2,22,18,21,1,1,2,23,5
ENSDART00000026903|ENSDARG00000001769,1,23,18,23,0,0,0,23,5
ENSDART00000029580|ENSDARG00000007975,1,22,18,22,0,1,1,23,5
ENSDART00000033294|ENSDARG00000022974,1,22,19,23,0,1,1,24,5
ENSDART00000035742|ENSDARG00000028257,1,21,18,21,0,2,2,23,5
ENSDART00000039187|ENSDARG00000028559,1,23,19,24,0,0,0,24,5
ENSDART00000039313|ENSDARG00000069607,3,23,18,21,2,0,2,23,5
ENSDART00000041697|ENSDARG00000013841,1,23,18,23,0,0,0,23,5
ENSDART00000042578|ENSDARG00000020811,2,23,20,24,1,0,1,25,5
ENSDART00000043180|ENSDARG00000037498,1,23,19,24,0,0,0,24,5
ENSDART00000043774|ENSDARG00000024124,1,23,23,23,0,0,0,23,0
ENSDART00000053622|ENSDARG00000036929,1,23,18,23,0,0,0,23,5
ENSDART00000054472|ENSDARG00000037429,1,23,19,24,0,0,0,24,5
ENSDART00000055035|ENSDARG00000053454,3,23,18,21,2,0,2,23,5
ENSDART00000057052|ENSDARG00000039069,1,23,18,23,0,0,0,23,5
ENSDART00000058622|ENSDARG00000077686,2,22,18,21,1,1,2,23,5
ENSDART00000059188|ENSDARG00000040432,2,23,18,22,1,0,1,23,5
ENSDART00000059756|ENSDARG00000040778,1,23,18,23,0,0,0,23,5
ENSDART00000059881|ENSDARG00000040851,3,23,18,21,2,0,2,23,5
ENSDART00000061442|ENSDARG00000041925,1,22,18,22,0,1,1,23,5
ENSDART00000062856|ENSDARG00000042825,2,23,18,22,1,0,1,23,5
ENSDART00000063818|ENSDARG00000025091,1,23,20,25,0,0,0,25,5
ENSDART00000067427|ENSDARG00000045874,1,23,18,23,0,0,0,23,5
ENSDART00000073432|ENSDARG00000045636,1,20,18,20,0,3,3,23,5
ENSDART00000075759|ENSDARG00000053691,1,22,19,23,0,1,1,24,5
ENSDART00000075958|ENSDARG00000053853,2,23,18,22,1,0,1,23,5
ENSDART00000078237|ENSDARG00000079325,2,23,18,22,1,0,1,23,5
ENSDART00000078893|ENSDARG00000025091,1,23,20,25,0,0,0,25,5
ENSDART00000083830|ENSDARG00000059906,3,23,18,21,2,0,2,23,5
ENSDART00000084055|ENSDARG00000060004,1,23,19,24,0,0,0,24,5
ENSDART00000085786|ENSDARG00000060695,1,23,18,23,0,0,0,23,5
ENSDART00000088403|ENSDARG00000075159,2,23,18,22,1,0,1,23,5
ENSDART00000090851|ENSDARG00000062655,3,22,18,20,2,1,3,23,5
ENSDART00000102411|ENSDARG00000056753,2,23,20,23,1,0,1,24,4
ENSDART00000102557|ENSDARG00000070078,1,23,18,23,0,0,0,23,5
ENSDART00000102858|ENSDARG00000078473,1,23,18,23,0,0,0,23,5
ENSDART00000109117|ENSDARG00000077878,1,23,18,23,0,0,0,23,5
ENSDART00000110610|ENSDARG00000078166,1,23,19,24,0,0,0,24,5
ENSDART00000112479|ENSDARG00000076780,1,23,19,24,0,0,0,24,5
ENSDART00000114586|ENSDARG00000091230,2,23,18,22,1,0,1,23,5
ENSDART00000122032|ENSDARG00000091718,2,23,18,22,1,0,1,23,5
ENSDART00000122449|ENSDARG00000034855,3,23,18,21,2,0,2,23,5
ENSDART00000123574|ENSDARG00000091538,1,23,18,23,0,0,0,23,5
ENSDART00000124889|ENSDARG00000086457,1,23,18,23,0,0,0,23,5
ENSDART00000125526|ENSDARG00000086880,2,23,18,22,1,0,1,23,5
ENSDART00000126211|ENSDARG00000089724,1,22,19,23,0,1,1,24,5
ENSDART00000127942|ENSDARG00000041925,1,22,18,22,0,1,1,23,5
ENSDART00000130757|ENSDARG00000040249,2,23,18,22,1,0,1,23,5
ENSDART00000130832|ENSDARG00000008480,1,22,18,22,0,1,1,23,5
ENSDART00000131169|ENSDARG00000041430,1,23,18,23,0,0,0,23,5
ENSDART00000131741|ENSDARG00000114349,1,23,20,25,0,0,0,25,5
ENSDART00000132365|ENSDARG00000018971,2,23,18,22,1,0,1,23,5
ENSDART00000133419|ENSDARG00000057403,1,23,18,23,0,0,0,23,5
ENSDART00000133440|ENSDARG00000090721,1,23,19,24,0,0,0,24,5
ENSDART00000133466|ENSDARG00000092715,2,22,18,21,1,1,2,23,5
ENSDART00000133826|ENSDARG00000057403,1,23,18,23,0,0,0,23,5
ENSDART00000134101|ENSDARG00000077096,2,22,19,22,1,1,2,24,5
ENSDART00000134381|ENSDARG00000074691,1,23,18,23,0,0,0,23,5
ENSDART00000134497|ENSDARG00000040433,1,23,18,23,0,0,0,23,5
ENSDART00000134543|ENSDARG00000020427,1,22,18,22,0,1,1,23,5
ENSDART00000135733|ENSDARG00000098788,1,23,18,23,0,0,0,23,5
ENSDART00000135917|ENSDARG00000022974,1,22,19,23,0,1,1,24,5
ENSDART00000136517|ENSDARG00000074691,1,23,18,23,0,0,0,23,5
ENSDART00000137424|ENSDARG00000024299,1,23,19,24,0,0,0,24,5
ENSDART00000137905|ENSDARG00000034852,1,22,20,24,0,1,1,25,5
ENSDART00000138011|ENSDARG00000075545,1,23,19,24,0,0,0,24,5
ENSDART00000138058|ENSDARG00000042221,2,23,20,23,1,0,1,24,4
ENSDART00000138548|ENSDARG00000013841,1,23,18,23,0,0,0,23,5
ENSDART00000139460|ENSDARG00000020811,2,23,20,24,1,0,1,25,5
ENSDART00000139684|ENSDARG00000053656,1,22,21,25,0,1,1,26,5
