Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000008590|ENSDARG00000013056,2,22,19,22,1,1,2,24,5
ENSDART00000014049|ENSDARG00000004774,1,23,18,23,0,0,0,23,5
ENSDART00000016808|ENSDARG00000089924,2,23,19,23,1,0,1,24,5
ENSDART00000017445|ENSDARG00000002445,1,22,18,22,0,1,1,23,5
ENSDART00000017791|ENSDARG00000021509,1,23,18,23,0,0,0,23,5
ENSDART00000018461|ENSDARG00000012450,1,23,18,23,0,0,0,23,5
ENSDART00000024058|ENSDARG00000029881,1,23,18,23,0,0,0,23,5
ENSDART00000024518|ENSDARG00000004111,1,23,18,23,0,0,0,23,5
ENSDART00000026516|ENSDARG00000003144,1,23,18,23,0,0,0,23,5
ENSDART00000027274|ENSDARG00000014675,1,23,19,24,0,0,0,24,5
ENSDART00000031425|ENSDARG00000024219,1,22,18,22,0,1,1,23,5
ENSDART00000033657|ENSDARG00000025671,1,23,18,23,0,0,0,23,5
ENSDART00000045933|ENSDARG00000010956,1,23,18,23,0,0,0,23,5
ENSDART00000049171|ENSDARG00000011533,1,23,20,25,0,0,0,25,5
ENSDART00000050332|ENSDARG00000025826,1,23,18,23,0,0,0,23,5
ENSDART00000050445|ENSDARG00000031817,1,23,18,23,0,0,0,23,5
ENSDART00000054388|ENSDARG00000000606,1,23,19,24,0,0,0,24,5
ENSDART00000056913|ENSDARG00000070414,1,23,18,23,0,0,0,23,5
ENSDART00000058099|ENSDARG00000039752,1,21,19,22,0,2,2,24,5
ENSDART00000058306|ENSDARG00000039863,1,23,19,24,0,0,0,24,5
ENSDART00000061572|ENSDARG00000042014,1,23,18,23,0,0,0,23,5
ENSDART00000063625|ENSDARG00000043342,1,23,18,23,0,0,0,23,5
ENSDART00000067647|ENSDARG00000046013,1,22,19,23,0,1,1,24,5
ENSDART00000073684|ENSDARG00000051962,1,23,19,24,0,0,0,24,5
ENSDART00000073704|ENSDARG00000056165,1,23,18,23,0,0,0,23,5
ENSDART00000074777|ENSDARG00000052866,1,22,18,22,0,1,1,23,5
ENSDART00000076229|ENSDARG00000054087,1,23,18,23,0,0,0,23,5
ENSDART00000078022|ENSDARG00000075793,1,21,18,21,0,2,2,23,5
ENSDART00000080129|ENSDARG00000057452,1,23,18,23,0,0,0,23,5
ENSDART00000082715|ENSDARG00000059475,1,23,18,23,0,0,0,23,5
ENSDART00000085361|ENSDARG00000052402,2,23,18,22,1,0,1,23,5
ENSDART00000087729|ENSDARG00000061504,1,23,18,23,0,0,0,23,5
ENSDART00000087844|ENSDARG00000004111,1,23,18,23,0,0,0,23,5
ENSDART00000088037|ENSDARG00000061635,1,22,19,23,0,1,1,24,5
ENSDART00000088490|ENSDARG00000061773,1,23,19,24,0,0,0,24,5
ENSDART00000089078|ENSDARG00000061994,1,23,18,23,0,0,0,23,5
ENSDART00000089205|ENSDARG00000079895,4,23,18,20,3,0,3,23,5
ENSDART00000090760|ENSDARG00000062661,1,23,18,23,0,0,0,23,5
ENSDART00000091777|ENSDARG00000063051,1,23,19,23,0,0,0,23,4
ENSDART00000092087|ENSDARG00000063197,1,20,18,20,0,3,3,23,5
ENSDART00000097677|ENSDARG00000009939,1,23,19,24,0,0,0,24,5
ENSDART00000098263|ENSDARG00000021209,1,23,18,23,0,0,0,23,5
ENSDART00000098600|ENSDARG00000061419,1,21,18,21,0,2,2,23,5
ENSDART00000098791|ENSDARG00000011533,1,23,20,25,0,0,0,25,5
ENSDART00000098896|ENSDARG00000040427,1,23,18,23,0,0,0,23,5
ENSDART00000099677|ENSDARG00000068828,1,22,18,22,0,1,1,23,5
ENSDART00000100744|ENSDARG00000069301,1,23,18,23,0,0,0,23,5
ENSDART00000101316|ENSDARG00000071469,1,23,20,24,0,0,0,24,4
ENSDART00000103878|ENSDARG00000070617,1,23,18,23,0,0,0,23,5
ENSDART00000103986|ENSDARG00000070675,2,23,18,22,1,0,1,23,5
ENSDART00000105545|ENSDARG00000071409,1,22,18,22,0,1,1,23,5
ENSDART00000105574|ENSDARG00000053525,1,23,20,25,0,0,0,25,5
ENSDART00000108507|ENSDARG00000077920,1,23,19,24,0,0,0,24,5
ENSDART00000108646|ENSDARG00000076870,1,23,20,25,0,0,0,25,5
ENSDART00000109259|ENSDARG00000017397,1,23,18,23,0,0,0,23,5
ENSDART00000109593|ENSDARG00000068828,1,22,18,22,0,1,1,23,5
ENSDART00000109642|ENSDARG00000075230,1,21,18,21,0,2,2,23,5
ENSDART00000109937|ENSDARG00000074322,1,23,18,23,0,0,0,23,5
ENSDART00000109953|ENSDARG00000077053,3,22,18,20,2,1,3,23,5
ENSDART00000110048|ENSDARG00000074084,1,23,18,23,0,0,0,23,5
ENSDART00000110629|ENSDARG00000078261,1,23,18,23,0,0,0,23,5
ENSDART00000111753|ENSDARG00000012450,1,23,18,23,0,0,0,23,5
ENSDART00000114226|ENSDARG00000025671,1,23,18,23,0,0,0,23,5
ENSDART00000121623|ENSDARG00000090770,1,22,18,22,0,1,1,23,5
ENSDART00000122625|ENSDARG00000017199,1,22,19,23,0,1,1,24,5
ENSDART00000122699|ENSDARG00000089357,1,23,18,23,0,0,0,23,5
ENSDART00000123392|ENSDARG00000090086,1,22,19,22,0,1,1,23,4
ENSDART00000123661|ENSDARG00000011533,1,23,20,25,0,0,0,25,5
ENSDART00000124799|ENSDARG00000089567,1,23,19,24,0,0,0,24,5
ENSDART00000125729|ENSDARG00000052402,2,23,18,22,1,0,1,23,5
ENSDART00000126129|ENSDARG00000075149,2,23,19,23,1,0,1,24,5
ENSDART00000126868|ENSDARG00000088039,1,23,18,23,0,0,0,23,5
ENSDART00000127834|ENSDARG00000062338,4,23,18,20,3,0,3,23,5
ENSDART00000128786|ENSDARG00000053449,1,22,18,22,0,1,1,23,5
ENSDART00000129155|ENSDARG00000012450,1,23,18,23,0,0,0,23,5
ENSDART00000129467|ENSDARG00000040326,1,23,19,24,0,0,0,24,5
ENSDART00000130059|ENSDARG00000062338,4,23,18,20,3,0,3,23,5
ENSDART00000130104|ENSDARG00000090454,1,22,19,23,0,1,1,24,5
ENSDART00000130835|ENSDARG00000091556,1,23,20,25,0,0,0,25,5
ENSDART00000130847|ENSDARG00000011533,1,23,20,25,0,0,0,25,5
ENSDART00000131369|ENSDARG00000091879,1,23,19,24,0,0,0,24,5
ENSDART00000131890|ENSDARG00000039863,1,23,19,24,0,0,0,24,5
ENSDART00000132667|ENSDARG00000093024,1,23,18,23,0,0,0,23,5
ENSDART00000132756|ENSDARG00000009939,1,23,19,24,0,0,0,24,5
ENSDART00000132950|ENSDARG00000018918,2,23,19,22,1,0,1,23,4
ENSDART00000133618|ENSDARG00000061635,1,22,19,23,0,1,1,24,5
ENSDART00000134070|ENSDARG00000019782,1,23,18,23,0,0,0,23,5
ENSDART00000134614|ENSDARG00000021209,1,23,18,23,0,0,0,23,5
ENSDART00000135107|ENSDARG00000010956,1,23,18,23,0,0,0,23,5
ENSDART00000136498|ENSDARG00000091879,1,23,19,24,0,0,0,24,5
ENSDART00000137037|ENSDARG00000093091,2,23,18,22,1,0,1,23,5
ENSDART00000137083|ENSDARG00000019782,1,23,18,23,0,0,0,23,5
ENSDART00000137611|ENSDARG00000035869,1,23,19,24,0,0,0,24,5
ENSDART00000137655|ENSDARG00000011783,2,23,18,22,1,0,1,23,5
