Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000003674|ENSDARG00000005948,1,22,18,22,0,1,1,23,5
ENSDART00000003940|ENSDARG00000020261,1,23,19,24,0,0,0,24,5
ENSDART00000006211|ENSDARG00000008723,1,23,19,23,0,0,0,23,4
ENSDART00000008302|ENSDARG00000011948,1,23,20,24,0,0,0,24,4
ENSDART00000008590|ENSDARG00000013056,1,23,18,23,0,0,0,23,5
ENSDART00000011283|ENSDARG00000009020,1,23,18,23,0,0,0,23,5
ENSDART00000011953|ENSDARG00000019063,2,23,19,23,1,0,1,24,5
ENSDART00000011955|ENSDARG00000054874,1,23,18,23,0,0,0,23,5
ENSDART00000013085|ENSDARG00000012066,1,22,18,22,0,1,1,23,5
ENSDART00000013409|ENSDARG00000019791,1,23,18,23,0,0,0,23,5
ENSDART00000015286|ENSDARG00000014652,2,23,18,22,1,0,1,23,5
ENSDART00000016562|ENSDARG00000018687,3,23,18,21,2,0,2,23,5
ENSDART00000018047|ENSDARG00000010602,1,23,18,23,0,0,0,23,5
ENSDART00000018908|ENSDARG00000006240,1,23,18,23,0,0,0,23,5
ENSDART00000019804|ENSDARG00000001937,2,23,19,23,1,0,1,24,5
ENSDART00000020456|ENSDARG00000013072,1,23,18,23,0,0,0,23,5
ENSDART00000020576|ENSDARG00000010792,1,23,18,23,0,0,0,23,5
ENSDART00000021213|ENSDARG00000007753,1,23,18,23,0,0,0,23,5
ENSDART00000023757|ENSDARG00000018107,2,21,20,20,1,2,3,23,3
ENSDART00000023823|ENSDARG00000006775,1,23,18,23,0,0,0,23,5
ENSDART00000024075|ENSDARG00000008884,1,23,18,23,0,0,0,23,5
ENSDART00000027782|ENSDARG00000011373,1,21,18,21,0,2,2,23,5
ENSDART00000030773|ENSDARG00000023058,1,22,18,22,0,1,1,23,5
ENSDART00000031993|ENSDARG00000074149,1,23,18,23,0,0,0,23,5
ENSDART00000033152|ENSDARG00000058425,1,23,21,23,0,0,0,23,2
ENSDART00000034218|ENSDARG00000026842,1,22,18,22,0,1,1,23,5
ENSDART00000035602|ENSDARG00000025718,1,22,19,23,0,1,1,24,5
ENSDART00000036926|ENSDARG00000004305,1,23,20,25,0,0,0,25,5
ENSDART00000038499|ENSDARG00000077872,2,23,20,24,1,0,1,25,5
ENSDART00000038824|ENSDARG00000032246,1,23,18,23,0,0,0,23,5
ENSDART00000039083|ENSDARG00000016749,2,23,18,22,1,0,1,23,5
ENSDART00000039174|ENSDARG00000026990,1,22,19,23,0,1,1,24,5
ENSDART00000041388|ENSDARG00000032565,1,23,18,23,0,0,0,23,5
ENSDART00000043002|ENSDARG00000029663,2,23,20,22,1,0,1,23,3
ENSDART00000043291|ENSDARG00000034907,1,23,18,23,0,0,0,23,5
ENSDART00000043866|ENSDARG00000004576,1,23,18,23,0,0,0,23,5
