Gene/transcript,align_start,align_end,identity,query_aligned_len,missing_start_bp,missing_end_bp,total_missing_bp,total_aligned_length,mismatches
ENSDART00000009382|ENSDARG00000022599,1,23,19,24,0,0,0,24,5
ENSDART00000010697|ENSDARG00000013830,2,23,18,22,1,0,1,23,5
ENSDART00000012194|ENSDARG00000017821,1,23,20,25,0,0,0,25,5
ENSDART00000016614|ENSDARG00000014230,1,23,19,24,0,0,0,24,5
ENSDART00000017562|ENSDARG00000003576,1,22,18,22,0,1,1,23,5
ENSDART00000020967|ENSDARG00000012818,1,23,19,24,0,0,0,24,5
ENSDART00000021878|ENSDARG00000036272,1,23,18,23,0,0,0,23,5
ENSDART00000023814|ENSDARG00000004470,1,23,19,24,0,0,0,24,5
ENSDART00000024775|ENSDARG00000045560,2,23,20,23,1,0,1,24,4
ENSDART00000034441|ENSDARG00000027316,1,23,18,23,0,0,0,23,5
ENSDART00000036015|ENSDARG00000023797,2,23,19,23,1,0,1,24,5
ENSDART00000041349|ENSDARG00000030411,1,23,19,23,0,0,0,23,4
ENSDART00000046641|ENSDARG00000005416,1,22,18,22,0,1,1,23,5
ENSDART00000048847|ENSDARG00000031976,1,22,20,23,0,1,1,24,4
ENSDART00000055913|ENSDARG00000068996,1,23,19,23,0,0,0,23,4
ENSDART00000060336|ENSDARG00000041165,1,23,18,23,0,0,0,23,5
ENSDART00000062845|ENSDARG00000042816,1,23,18,23,0,0,0,23,5
ENSDART00000063719|ENSDARG00000043404,1,23,18,23,0,0,0,23,5
ENSDART00000066282|ENSDARG00000054707,1,22,19,23,0,1,1,24,5
ENSDART00000073457|ENSDARG00000114405,1,23,23,23,0,0,0,23,0
ENSDART00000077119|ENSDARG00000054849,1,23,19,24,0,0,0,24,5
ENSDART00000077734|ENSDARG00000055383,1,23,20,24,0,0,0,24,4
ENSDART00000078545|ENSDARG00000056111,1,23,18,23,0,0,0,23,5
ENSDART00000080047|ENSDARG00000042670,1,22,18,22,0,1,1,23,5
ENSDART00000090634|ENSDARG00000059818,3,22,18,20,2,1,3,23,5
ENSDART00000099803|ENSDARG00000075989,1,23,18,23,0,0,0,23,5
ENSDART00000102021|ENSDARG00000069866,1,23,18,23,0,0,0,23,5
ENSDART00000104718|ENSDARG00000071009,1,23,19,24,0,0,0,24,5
ENSDART00000105721|ENSDARG00000071478,1,23,18,23,0,0,0,23,5
ENSDART00000108647|ENSDARG00000077732,1,23,19,23,0,0,0,23,4
ENSDART00000109316|ENSDARG00000075482,1,23,23,23,0,0,0,23,0
ENSDART00000109751|ENSDARG00000089039,1,23,23,23,0,0,0,23,0
ENSDART00000110167|ENSDARG00000075072,1,23,18,23,0,0,0,23,5
ENSDART00000110322|ENSDARG00000075949,1,23,19,24,0,0,0,24,5
ENSDART00000111053|ENSDARG00000100259,1,23,23,23,0,0,0,23,0
ENSDART00000112415|ENSDARG00000000747,1,22,18,22,0,1,1,23,5
ENSDART00000113097|ENSDARG00000088140,1,23,18,23,0,0,0,23,5
ENSDART00000113644|ENSDARG00000074471,1,23,19,24,0,0,0,24,5
ENSDART00000114598|ENSDARG00000078941,1,23,23,23,0,0,0,23,0
ENSDART00000114637|ENSDARG00000079166,1,23,18,23,0,0,0,23,5
ENSDART00000122487|ENSDARG00000022599,1,23,19,24,0,0,0,24,5
ENSDART00000122747|ENSDARG00000030236,1,22,18,22,0,1,1,23,5
ENSDART00000123458|ENSDARG00000044525,1,23,19,24,0,0,0,24,5
ENSDART00000124889|ENSDARG00000086457,1,22,18,22,0,1,1,23,5
ENSDART00000126444|ENSDARG00000114451,1,22,18,22,0,1,1,23,5
ENSDART00000126590|ENSDARG00000091728,1,23,23,23,0,0,0,23,0
ENSDART00000126897|ENSDARG00000090194,1,23,19,24,0,0,0,24,5
ENSDART00000128017|ENSDARG00000115938,1,23,23,23,0,0,0,23,0
ENSDART00000133042|ENSDARG00000093781,2,23,19,23,1,0,1,24,5
ENSDART00000133283|ENSDARG00000004470,1,23,19,24,0,0,0,24,5
ENSDART00000133926|ENSDARG00000029718,1,23,19,24,0,0,0,24,5
ENSDART00000134080|ENSDARG00000045560,2,23,20,23,1,0,1,24,4
ENSDART00000134349|ENSDARG00000095675,1,23,19,24,0,0,0,24,5
ENSDART00000134547|ENSDARG00000035978,2,23,19,23,1,0,1,24,5
ENSDART00000135268|ENSDARG00000014230,1,23,19,24,0,0,0,24,5
ENSDART00000135834|ENSDARG00000001968,1,23,18,23,0,0,0,23,5
ENSDART00000136051|ENSDARG00000004470,1,23,19,24,0,0,0,24,5
ENSDART00000136759|ENSDARG00000078701,1,23,19,24,0,0,0,24,5
ENSDART00000136819|ENSDARG00000054849,1,23,19,24,0,0,0,24,5
ENSDART00000137089|ENSDARG00000011422,2,23,19,23,1,0,1,24,5
ENSDART00000137131|ENSDARG00000060165,1,23,18,23,0,0,0,23,5
ENSDART00000137309|ENSDARG00000079257,1,23,18,23,0,0,0,23,5
ENSDART00000139310|ENSDARG00000054849,1,23,19,24,0,0,0,24,5
ENSDART00000140313|ENSDARG00000086457,1,22,18,22,0,1,1,23,5
